league,season,team,player,league_id,season_id,team_id,player_id,position,matches,minutes,goals,xg,np_goals,np_xg,assists,xa,shots,key_passes,yellow_cards,red_cards,xg_chain,xg_buildup
GER-Bundesliga,2526,Augsburg,Uchenna Ogundu,3,2025,121,14455,S,1,6,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0
GER-Bundesliga,2526,Augsburg,Yannik Keitel,3,2025,121,8206,D S,3,125,0,0.0,0,0.0,0,0.0,0,0,1,0,0.44554010033607483,0.44554010033607483
GER-Bundesliga,2526,Bayer Leverkusen,Aleix García,3,2025,119,1055,M S,22,1864,1,1.7137146163731813,1,1.7137146163731813,5,3.717742618173361,20,31,3,0,13.201329237781465,11.42907656636089
GER-Bundesliga,2526,Bayer Leverkusen,Alejo Sarco,3,2025,119,13505,S,5,106,0,0.35923727229237556,0,0.35923727229237556,0,0.25054374895989895,3,2,0,0,0.8486710991710424,0.2895685136318207
GER-Bundesliga,2526,Bayer Leverkusen,Arthur,3,2025,119,11868,D S,15,1006,1,1.1891322792507708,1,1.1891322792507708,3,1.0827199164777994,10,11,2,0,6.28209662437439,5.07703934982419
GER-Bundesliga,2526,Bayer Leverkusen,Axel Tape,3,2025,119,13215,D S,5,177,0,0.12020363658666611,0,0.12020363658666611,0,0.0,2,0,1,0,0.692778505384922,0.5725748687982559
GER-Bundesliga,2526,Bayer Leverkusen,Ben Seghir,3,2025,119,10771,M S,7,186,0,0.0776483565568924,0,0.0776483565568924,0,1.2067486643791199,4,5,2,0,1.4110177885740995,0.23026195913553238
GER-Bundesliga,2526,Bayer Leverkusen,Christian Kofane,3,2025,119,13856,F M S,19,765,3,4.835176460444927,3,4.835176460444927,1,0.592691658064723,26,10,3,0,6.216425519436598,1.578556440770626
GER-Bundesliga,2526,Bayer Leverkusen,Claudio Echeverri,3,2025,119,13649,M S,6,112,0,0.11350106447935104,0,0.11350106447935104,0,0.04052872955799103,1,1,0,0,0.2705470249056816,0.15704596042633057
GER-Bundesliga,2526,Bayer Leverkusen,Edmond Tapsoba,3,2025,119,8317,D,18,1589,4,2.7391838328912854,4,2.7391838328912854,2,0.9179273508489132,19,7,3,0,8.379076287150383,7.438670347444713
