league,season,game,league_id,season_id,game_id,date,home_team_id,away_team_id,home_team,away_team,away_team_code,home_team_code,home_goals,away_goals,home_xg,away_xg,is_result,has_data,url
GER-Bundesliga,2526,2025-09-20 RasenBallsport Leipzig-FC Cologne,3,2025,30256,2025-09-20 16:30:00,136,134,RasenBallsport Leipzig,FC Cologne,COL,RBL,3,1,3.79591,1.39264,True,True,https://understat.com/match/30256
GER-Bundesliga,2526,2025-09-20 Werder Bremen-Freiburg,3,2025,30252,2025-09-20 13:30:00,123,135,Werder Bremen,Freiburg,FRE,WER,0,3,1.27257,2.36315,True,True,https://understat.com/match/30252
GER-Bundesliga,2526,2025-09-21 Bayer Leverkusen-Borussia M.Gladbach,3,2025,30258,2025-09-21 15:30:00,119,130,Bayer Leverkusen,Borussia M.Gladbach,BMG,LEV,1,1,1.9461,1.29876,True,True,https://understat.com/match/30258
GER-Bundesliga,2526,2025-09-21 Borussia Dortmund-Wolfsburg,3,2025,30259,2025-09-21 17:30:00,129,131,Borussia Dortmund,Wolfsburg,WOL,DOR,1,0,1.24747,0.975457,True,True,https://understat.com/match/30259
GER-Bundesliga,2526,2025-09-21 Eintracht Frankfurt-Union Berlin,3,2025,30257,2025-09-21 13:30:00,132,240,Eintracht Frankfurt,Union Berlin,UNI,EIN,3,4,1.75582,2.23419,True,True,https://understat.com/match/30257
GER-Bundesliga,2526,2025-09-26 Bayern Munich-Werder Bremen,3,2025,30260,2025-09-26 18:30:00,117,123,Bayern Munich,Werder Bremen,WER,BAY,4,0,4.31859,0.298618,True,True,https://understat.com/match/30260
GER-Bundesliga,2526,2025-09-27 Borussia M.Gladbach-Eintracht Frankfurt,3,2025,30265,2025-09-27 16:30:00,130,132,Borussia M.Gladbach,Eintracht Frankfurt,EIN,BMG,4,6,2.12935,3.78879,True,True,https://understat.com/match/30265
GER-Bundesliga,2526,2025-09-27 FC Heidenheim-Augsburg,3,2025,30261,2025-09-27 13:30:00,280,121,FC Heidenheim,Augsburg,AUG,HEI,2,1,1.79097,0.619833,True,True,https://understat.com/match/30261
GER-Bundesliga,2526,2025-09-27 Mainz 05-Borussia Dortmund,3,2025,30262,2025-09-27 13:30:00,125,129,Mainz 05,Borussia Dortmund,DOR,MAI,0,2,0.525149,1.75519,True,True,https://understat.com/match/30262
GER-Bundesliga,2526,2025-09-27 St. Pauli-Bayer Leverkusen,3,2025,30263,2025-09-27 13:30:00,288,119,St. Pauli,Bayer Leverkusen,LEV,SPA,1,2,0.813325,1.28912,True,True,https://understat.com/match/30263
GER-Bundesliga,2526,2025-09-27 Wolfsburg-RasenBallsport Leipzig,3,2025,30264,2025-09-27 13:30:00,131,136,Wolfsburg,RasenBallsport Leipzig,RBL,WOL,0,1,2.59654,2.61107,True,True,https://understat.com/match/30264
GER-Bundesliga,2526,2025-09-28 FC Cologne-VfB Stuttgart,3,2025,30267,2025-09-28 15:30:00,134,133,FC Cologne,VfB Stuttgart,STU,COL,1,2,1.07972,2.20939,True,True,https://understat.com/match/30267
GER-Bundesliga,2526,2025-09-28 Freiburg-Hoffenheim,3,2025,30266,2025-09-28 13:30:00,135,120,Freiburg,Hoffenheim,HOF,FRE,1,1,1.2587,2.24224,True,True,https://understat.com/match/30266
GER-Bundesliga,2526,2025-09-28 Union Berlin-Hamburger SV,3,2025,30268,2025-09-28 17:30:00,240,118,Union Berlin,Hamburger SV,HAM,UNI,0,0,1.54274,1.11274,True,True,https://understat.com/match/30268
GER-Bundesliga,2526,2025-10-03 Hoffenheim-FC Cologne,3,2025,30274,2025-10-03 18:30:00,120,134,Hoffenheim,FC Cologne,COL,HOF,0,1,1.42371,1.30873,True,True,https://understat.com/match/30274
GER-Bundesliga,2526,2025-10-04 Augsburg-Wolfsburg,3,2025,30276,2025-10-04 13:30:00,121,131,Augsburg,Wolfsburg,WOL,AUG,3,1,1.75326,1.22584,True,True,https://understat.com/match/30276
GER-Bundesliga,2526,2025-10-04 Bayer Leverkusen-Union Berlin,3,2025,30269,2025-10-04 13:30:00,119,240,Bayer Leverkusen,Union Berlin,UNI,LEV,2,0,3.35673,1.19684,True,True,https://understat.com/match/30269
GER-Bundesliga,2526,2025-10-04 Borussia Dortmund-RasenBallsport Leipzig,3,2025,30271,2025-10-04 13:30:00,129,136,Borussia Dortmund,RasenBallsport Leipzig,RBL,DOR,1,1,0.668613,1.14077,True,True,https://understat.com/match/30271
GER-Bundesliga,2526,2025-10-04 Eintracht Frankfurt-Bayern Munich,3,2025,30272,2025-10-04 16:30:00,132,117,Eintracht Frankfurt,Bayern Munich,BAY,EIN,0,3,0.560138,2.2301,True,True,https://understat.com/match/30272
GER-Bundesliga,2526,2025-10-04 Werder Bremen-St. Pauli,3,2025,30277,2025-10-04 13:30:00,123,288,Werder Bremen,St. Pauli,SPA,WER,1,0,1.77957,0.912425,True,True,https://understat.com/match/30277
GER-Bundesliga,2526,2025-10-05 Borussia M.Gladbach-Freiburg,3,2025,30270,2025-10-05 17:30:00,130,135,Borussia M.Gladbach,Freiburg,FRE,BMG,0,0,0.471184,0.689073,True,True,https://understat.com/match/30270
GER-Bundesliga,2526,2025-10-05 Hamburger SV-Mainz 05,3,2025,30273,2025-10-05 15:30:00,118,125,Hamburger SV,Mainz 05,MAI,HAM,4,0,1.65883,0.591161,True,True,https://understat.com/match/30273
GER-Bundesliga,2526,2025-10-05 VfB Stuttgart-FC Heidenheim,3,2025,30275,2025-10-05 13:30:00,133,280,VfB Stuttgart,FC Heidenheim,HEI,STU,1,0,1.10781,0.290942,True,True,https://understat.com/match/30275
GER-Bundesliga,2526,2025-10-17 Union Berlin-Borussia M.Gladbach,3,2025,30285,2025-10-17 18:30:00,240,130,Union Berlin,Borussia M.Gladbach,BMG,UNI,3,1,1.53032,0.628848,True,True,https://understat.com/match/30285
GER-Bundesliga,2526,2025-10-18 Bayern Munich-Borussia Dortmund,3,2025,30278,2025-10-18 16:30:00,117,129,Bayern Munich,Borussia Dortmund,DOR,BAY,2,1,2.81994,1.41011,True,True,https://understat.com/match/30278
GER-Bundesliga,2526,2025-10-18 FC Cologne-Augsburg,3,2025,30279,2025-10-18 13:30:00,134,121,FC Cologne,Augsburg,AUG,COL,1,1,0.523854,1.11917,True,True,https://understat.com/match/30279
GER-Bundesliga,2526,2025-10-18 FC Heidenheim-Werder Bremen,3,2025,30281,2025-10-18 13:30:00,280,123,FC Heidenheim,Werder Bremen,WER,HEI,2,2,3.07635,1.85638,True,True,https://understat.com/match/30281
GER-Bundesliga,2526,2025-10-18 Mainz 05-Bayer Leverkusen,3,2025,30282,2025-10-18 13:30:00,125,119,Mainz 05,Bayer Leverkusen,LEV,MAI,3,4,1.62978,4.43462,True,True,https://understat.com/match/30282
GER-Bundesliga,2526,2025-10-18 RasenBallsport Leipzig-Hamburger SV,3,2025,30283,2025-10-18 13:30:00,136,118,RasenBallsport Leipzig,Hamburger SV,HAM,RBL,2,1,1.15611,1.29355,True,True,https://understat.com/match/30283
GER-Bundesliga,2526,2025-10-18 Wolfsburg-VfB Stuttgart,3,2025,30286,2025-10-18 13:30:00,131,133,Wolfsburg,VfB Stuttgart,STU,WOL,0,3,0.392885,2.39474,True,True,https://understat.com/match/30286
GER-Bundesliga,2526,2025-10-19 Freiburg-Eintracht Frankfurt,3,2025,30280,2025-10-19 13:30:00,135,132,Freiburg,Eintracht Frankfurt,EIN,FRE,2,2,1.12896,0.772638,True,True,https://understat.com/match/30280
